,1995,2000,2005,2011
0,"('JPN', 'C50T52WRT')","('ROW', 'C10T14MIN')","('ROW', 'C10T14MIN')","('ROW', 'C10T14MIN')"
1,"('HKG', 'C50T52WRT')","('HKG', 'C50T52WRT')","('HKG', 'C50T52WRT')","('RUS', 'C10T14MIN')"
2,"('ROW', 'C10T14MIN')","('RUS', 'C50T52WRT')","('RUS', 'C10T14MIN')","('USA', 'C73T74OBZ')"
3,"('USA', 'C50T52WRT')","('USA', 'C50T52WRT')","('RUS', 'C50T52WRT')","('HKG', 'C50T52WRT')"
4,"('DEU', 'C50T52WRT')","('RUS', 'C10T14MIN')","('USA', 'C73T74OBZ')","('SAU', 'C10T14MIN')"
5,"('USA', 'C30T33XCEQ')","('ROW', 'C50T52WRT')","('USA', 'C50T52WRT')","('RUS', 'C50T52WRT')"
6,"('DEU', 'C24CHM')","('JPN', 'C50T52WRT')","('SAU', 'C10T14MIN')","('CHN', 'C30T33XCEQ')"
7,"('ITA', 'C50T52WRT')","('USA', 'C73T74OBZ')","('JPN', 'C50T52WRT')","('GBR', 'C73T74OBZ')"
8,"('USA', 'C73T74OBZ')","('ROW', 'C27MET')","('ROW', 'C27MET')","('ROW', 'C50T52WRT')"
9,"('RUS', 'C50T52WRT')","('USA', 'C30T33XCEQ')","('ROW', 'C50T52WRT')","('DEU', 'C73T74OBZ')"
